,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
374,Toppenish,90,US,1551486694,79,46.38,-120.31,28.0,4.7
375,Mercedes,0,UY,1551486863,58,-33.25,-58.03,75.67,11.74
376,Torbay,75,CA,1551486509,67,47.66,-52.73,19.99,18.34
377,Brindisi,0,IT,1551486855,87,40.63,17.94,51.01,6.93
378,Russell,0,AR,1551484800,35,-33.01,-68.8,84.2,1.68
379,Sao Joao da Barra,75,BR,1551481200,88,-21.64,-41.05,78.8,24.05
380,Kayseri,75,TR,1551484200,64,38.73,35.48,34.0,3.36
381,Leopold,90,US,1551486846,100,38.1,-86.58,37.99,2.35
382,Kui Buri,12,TH,1551484800,78,12.07,99.86,78.8,3.36
383,Kankon,0,IN,1551483000,88,15.02,74.02,69.8,4.7
384,Narsaq,44,GL,1551484200,29,60.91,-46.05,39.2,17.22
385,Oancea,56,RO,1551486869,77,45.35,27.73,32.6,3.36
386,Gazanjyk,24,TM,1551486869,94,39.24,55.52,39.35,8.39
387,Mutoko,12,ZW,1551486869,85,-17.4,32.23,60.19,3.47
388,Ola,0,RU,1551486869,100,59.58,151.3,3.53,9.73
389,Tuatapere,0,NZ,1551486608,76,-46.13,167.69,60.01,11.01
390,Ayr,75,GB,1551486774,93,55.46,-4.63,46.4,5.82
391,Vostok,0,RU,1551486873,58,46.45,135.83,19.73,2.91
392,Lagoa,20,PT,1551486775,87,37.14,-8.45,55.99,9.17
393,Pacific Grove,90,US,1551486731,66,36.62,-121.92,60.8,4.7
394,Biu,24,NG,1551486873,45,10.61,12.19,71.21,3.36
395,Wanaka,0,NZ,1551486874,39,-44.7,169.14,65.95,1.57
396,Ratnagiri,0,IN,1551486876,100,16.98,73.3,73.01,5.7
397,Boyolangu,8,ID,1551486876,97,-8.09,111.9,73.87,3.47
398,Chara,0,GR,1551486802,75,39.42,22.43,51.01,4.14
399,Nileshwar,8,IN,1551486877,100,12.25,75.1,80.66,3.69
400,Alabaster,90,US,1551486876,93,33.24,-86.82,60.01,5.82
401,Airai,44,TL,1551486879,91,-8.93,125.41,74.81,0.56
402,Miles City,90,US,1551486793,92,46.41,-105.84,14.0,21.92
403,Woodward,1,US,1551486696,42,36.43,-99.39,53.6,14.99
404,Puerto Baquerizo Moreno,20,EC,1551484800,78,-0.9,-89.6,82.4,4.7
405,Nadvoitsy,56,RU,1551486881,77,63.89,34.27,15.64,6.38
406,Buchen,90,DE,1551486861,100,49.52,10.63,45.0,6.93
407,Jumla,48,NP,1551486884,62,29.28,82.18,14.74,2.91
408,Tessalit,0,ML,1551486884,46,20.2,1.01,50.38,7.49
409,Saint-Francois,90,FR,1551486691,81,46.42,3.91,46.4,3.36
410,Lagdo,8,CM,1551486885,66,9.06,13.67,76.21,2.57
411,Vagamo,8,NO,1551486885,85,61.88,9.1,3.85,2.01
412,Tilichiki,8,RU,1551486886,76,60.47,166.1,-0.93,4.92
413,Westport,48,IE,1551486785,94,53.8,-9.52,46.0,1.01
414,Karachi,68,PK,1551486615,93,24.87,67.03,69.86,7.72
415,Goundam,0,ML,1551486886,50,16.42,-3.66,58.61,11.18
416,Notre-Dame-de-Gravenchon,0,FR,1551486864,87,49.49,0.57,48.2,10.29
417,Henties Bay,36,NA,1551484927,84,-22.12,14.28,66.99,1.99
418,Alyangula,40,AU,1551484800,66,-13.85,136.42,87.8,4.7
419,Tateyama,0,JP,1551486600,70,36.66,137.31,51.01,2.24
420,Uyovu,12,TZ,1551486887,86,-3.28,31.53,65.68,7.05
421,Fontenay-le-Comte,90,FR,1551486865,87,46.47,-0.81,51.8,9.17
422,Vung Tau,0,VN,1551486888,95,10.35,107.08,78.82,16.22
423,Gravelbourg,68,CA,1551486888,84,49.88,-106.56,1.46,12.41
424,Dakar,0,SN,1551484800,68,14.69,-17.45,75.2,13.87
425,Uray,36,RU,1551486889,89,60.13,64.8,25.27,8.16
426,Luwuk,12,ID,1551486515,84,-0.95,122.79,82.01,2.68
427,Lages,88,BR,1551486872,99,-27.82,-50.33,69.01,1.99
428,Charters Towers,8,AU,1551486889,80,-20.07,146.27,75.71,11.74
429,Bhojudih,0,IN,1551486889,84,23.64,86.44,47.81,2.91
430,Davenda,0,RU,1551486890,69,53.56,119.32,9.83,2.35
431,Waipawa,92,NZ,1551485716,67,-39.94,176.59,62.01,1.01
432,Hanna,32,CA,1551486844,71,51.64,-111.93,-13.01,10.0
433,Biak,12,ID,1551486878,84,-0.91,122.88,82.01,2.68
434,Canon City,92,US,1551486890,30,39.46,-117.13,46.1,8.72
435,Bang Saphan,75,TH,1551484800,94,11.21,99.51,75.2,2.24
436,Upernavik,44,GL,1551486891,100,72.79,-56.15,2.5,9.95
437,Buraydah,0,SA,1551484800,75,26.33,43.97,44.6,3.36
438,La Perla,0,AR,1551486649,88,-31.68,-64.44,81.0,4.7
439,Bow Island,75,CA,1551486747,63,49.87,-111.38,-6.0,17.22
440,The Valley,20,AI,1551486701,73,18.22,-63.06,78.8,11.41
441,Hambantota,20,LK,1551485400,100,6.12,81.12,73.4,5.82
442,San Cristobal,40,EC,1551486667,77,-0.39,-78.55,59.0,4.7
443,Sironj,0,IN,1551486894,52,24.1,77.69,52.31,8.95
444,Armidale,76,AU,1551486703,66,-30.51,151.67,63.0,5.99
445,Naryan-Mar,0,RU,1551486895,79,67.67,53.09,3.71,14.65
446,Balingasay,36,PH,1551486895,91,16.36,119.86,76.57,10.4
447,Vila Velha,20,BR,1551486594,78,-3.71,-38.6,82.4,3.36
448,Egvekinot,80,RU,1551486896,90,66.32,-179.17,23.06,12.75
449,Kenai,1,US,1551486736,50,60.55,-151.26,35.01,2.8
450,Launceston,0,AU,1551486674,36,-41.43,147.14,81.0,8.05
451,Liepaja,56,LV,1551484680,73,56.52,21.02,26.6,3.36
452,Arlit,0,NE,1551486897,48,18.74,7.39,53.17,9.73
453,Bakchar,68,RU,1551486897,85,57.02,82.07,16.63,4.81
454,Haines Junction,12,CA,1551486897,80,60.75,-137.51,16.81,2.57
455,Churapcha,56,RU,1551486897,57,62.0,132.43,-12.54,3.69
456,Kamenka,88,RU,1551485195,87,53.19,44.05,32.0,12.41
457,Vardo,90,US,1551486895,97,39.62,-77.74,34.0,4.7
458,Chicama,75,PE,1551484800,83,-7.84,-79.15,77.0,10.29
459,Sorrento,0,AU,1551486803,52,-31.82,115.75,66.0,10.29
460,Faya,0,SA,1551484800,82,18.39,42.45,57.2,6.93
461,Broken Hill,0,AU,1551484800,18,-31.97,141.45,89.6,13.87
462,Anloga,20,GH,1551484800,88,5.79,0.9,77.0,1.12
463,Bure,44,NG,1551486899,60,10.52,10.33,73.24,3.02
464,Dedza,32,MW,1551486899,95,-14.38,34.33,61.9,2.91
465,Nagornskiy,80,RU,1551486557,91,58.77,57.55,23.0,8.72
466,Sola,40,NO,1551486746,80,58.89,5.65,34.0,8.05
467,Aksu,40,KZ,1551484800,92,52.04,76.93,5.0,2.24
468,Meulaboh,44,ID,1551486876,100,4.14,96.13,78.95,5.26
469,Plyussa,0,RU,1551486901,78,58.42,29.37,8.71,4.47
470,Plouzane,90,FR,1551486784,87,48.38,-4.62,51.8,12.75
471,Berlevag,76,NO,1551486902,100,70.86,29.09,20.81,6.93
472,Nur,0,PL,1551486862,64,52.67,22.32,27.0,8.01
473,Kutum,0,SD,1551486902,22,14.2,24.66,60.41,9.28
474,The Pas,90,CA,1551484980,63,53.82,-101.24,-5.81,9.17
475,Wattegama,44,LK,1551486904,92,7.35,80.68,64.46,2.57
476,Ukiah,90,US,1551486816,50,39.15,-123.21,54.0,0.89
477,Atkinson,1,US,1551486898,69,41.42,-90.02,37.4,4.7
478,Kapit,88,MY,1551486909,92,2.02,112.94,74.68,0.56
479,Beloha,92,MG,1551486909,92,-25.17,45.06,76.84,5.37
480,Orsha,56,BY,1551486910,80,54.51,30.43,17.71,14.2
481,Sao Jose da Coroa Grande,32,BR,1551486910,90,-8.9,-35.15,77.83,4.81
482,Lloydminster,75,CA,1551484800,63,53.28,-110.01,-11.21,13.87
483,Atikokan,76,CA,1551486913,64,48.76,-91.62,12.58,2.8
484,Kununurra,0,AU,1551484800,55,-15.77,128.74,87.8,3.36
485,Whitehorse,75,CA,1551486766,62,60.72,-135.06,26.01,3.13
486,Bani Walid,0,LY,1551486916,82,31.76,14.0,41.6,9.62
487,Kushima,75,JP,1551484800,66,31.5,131.29,53.6,4.7
488,Moree,0,AU,1551486654,39,-29.46,149.84,82.4,11.41
489,Rabo de Peixe,40,PT,1551486915,87,37.8,-25.58,60.8,16.11
490,Naantali,20,FI,1551486706,86,60.45,22.03,30.0,6.93
491,Chihuahua,75,MX,1551486856,21,28.66,-106.08,78.8,14.99
492,Mahibadhoo,12,MV,1551486919,100,3.78,72.97,81.34,9.95
493,Manakara,36,MG,1551486920,93,-22.14,48.01,79.18,7.27
494,Bemidji,40,US,1551486818,85,47.48,-94.89,14.0,6.93
495,Palma Soriano,40,CU,1551484200,69,20.21,-75.99,78.8,1.12
496,Sorland,76,NO,1551486922,100,67.67,12.69,35.53,17.34
497,Great Bend,1,US,1551486764,69,38.36,-98.78,33.8,18.34
498,Voiron,90,FR,1551486916,81,45.37,5.59,46.4,2.24
499,Lompoc,90,US,1551486827,72,34.64,-120.46,61.0,4.92
500,Okhansk,0,RU,1551484800,86,57.72,55.39,28.4,8.95
501,Katherine,24,AU,1551484800,55,-14.47,132.26,86.0,8.05
502,Krasne,75,UA,1551484800,68,49.91,24.61,30.2,11.18
503,Ucluelet,20,CA,1551486525,65,48.94,-125.55,45.0,9.17
504,Fort Nelson,5,CA,1551484800,49,58.81,-122.69,1.4,4.7
505,Mulege,0,MX,1551486925,23,26.88,-111.98,81.2,3.58
506,Piopio,64,CL,1551484800,93,-42.79,-73.57,55.4,3.36
507,Alice Springs,0,AU,1551484800,24,-23.7,133.88,91.4,17.22
508,Junagarh,0,IN,1551486926,92,19.86,82.94,59.15,2.57
509,Asosa,20,ET,1551486926,38,10.07,34.53,60.41,5.03
510,Nabire,88,ID,1551486755,96,-3.36,135.5,69.5,2.35
511,Cantaura,12,VE,1551486927,45,9.31,-64.36,81.34,14.99
512,Gaoua,12,BF,1551486927,28,10.33,-3.18,68.33,7.16
513,Geraldton,90,CA,1551484800,47,49.72,-86.95,12.2,5.82
514,Lososina,0,RU,1551486928,75,49.0,140.31,19.69,4.36
515,Safranbolu,80,TR,1551486929,83,41.25,32.69,37.06,3.69
516,Aransas Pass,90,US,1551486919,100,27.91,-97.15,64.4,9.17
517,Hershey,90,US,1551486867,74,40.29,-76.65,33.8,5.82
518,Noyabrsk,76,RU,1551486929,88,63.2,75.45,16.85,14.43
519,Tolaga Bay,88,NZ,1551486930,70,-38.37,178.3,64.06,19.46
520,Sisimiut,56,GL,1551486682,67,66.94,-53.67,6.86,2.35
521,Sandnessjoen,92,NO,1551486614,86,66.02,12.63,37.4,13.87
522,Khandyga,8,RU,1551486936,35,62.65,135.58,-24.15,2.57
523,Palmer,0,AU,1551486912,12,-34.85,139.16,100.0,20.8
524,Komsomolskiy,64,RU,1551486937,75,67.55,63.78,1.87,10.74
525,San Juan del Sur,75,NI,1551481200,55,11.25,-85.87,86.0,4.7
526,Kolo,48,TZ,1551486937,92,-4.73,35.84,60.5,2.8
527,Fairbanks,1,US,1551486902,57,64.84,-147.72,35.01,4.7
528,Terney,0,RU,1551486938,74,45.05,136.61,30.13,9.17
529,Hualmay,76,PE,1551486938,73,-11.1,-77.61,73.42,4.14
530,Puerto Colombia,0,CO,1551484800,78,10.99,-74.96,78.8,13.87
531,Ninghai,90,CN,1551486805,100,29.29,121.42,50.0,4.47
532,Mason City,90,US,1551486773,92,43.15,-93.2,23.0,2.91
533,Pangody,68,RU,1551486940,78,65.85,74.49,10.28,5.7
534,Lavrentiya,0,RU,1551486940,95,65.58,-170.99,22.16,6.15
535,Betamcherla,8,IN,1551486940,86,15.47,78.17,73.01,11.86
536,Kanniyakumari,8,IN,1551486940,100,8.08,77.57,81.52,21.47
537,Makakilo City,90,US,1551486925,56,21.35,-158.09,75.2,8.05
538,Bodden Town,20,KY,1551486604,83,19.28,-81.25,80.6,11.41
539,Shimoda,75,JP,1551486911,100,34.7,138.93,55.99,16.11
540,Saint-Leu,0,RE,1551486686,69,-21.15,55.28,80.6,4.7
541,Kommunisticheskiy,88,RU,1551486943,90,61.68,64.48,21.71,4.92
542,Bahia Blanca,0,AR,1551486944,60,-38.72,-62.27,70.31,22.93
543,Natal,40,BR,1551484800,83,-5.81,-35.21,80.6,3.36
544,Ust-Nera,8,RU,1551486945,52,64.57,143.24,-33.6,2.13
545,Bidor,75,MY,1551484800,88,4.11,101.29,77.0,4.7
546,Mehran,40,IR,1551484800,100,33.12,46.17,30.2,4.7
547,Yumen,0,CN,1551486892,60,40.29,97.04,15.91,5.14
548,Coxim,76,BR,1551486946,79,-18.5,-54.75,79.4,3.36
549,Presidencia Roque Saenz Pena,0,AR,1551486939,56,-26.79,-60.44,74.81,7.49
550,Solnechnyy,0,RU,1551486947,67,50.72,136.64,13.88,2.57
551,Baykit,68,RU,1551486731,79,61.68,96.39,10.91,2.68
552,Conceicao do Araguaia,92,BR,1551486949,89,-8.26,-49.26,76.84,5.37
553,Koslan,8,RU,1551486949,84,63.46,48.9,8.48,2.57
554,Aykhal,8,RU,1551486949,46,65.95,111.51,-8.89,2.68
555,Sao Francisco,0,BR,1551484800,64,-25.65,-53.85,75.2,3.36
556,Grasse,0,FR,1551486918,93,43.66,6.92,57.0,4.7
557,Salinopolis,92,BR,1551486951,100,-0.61,-47.36,78.05,8.72
558,Pahrump,1,US,1551486728,27,36.21,-115.98,70.0,12.75
559,Alta Floresta,12,BR,1551486951,89,-9.87,-56.08,77.06,1.9
